Date,CDIAnnual,Master
07/01/2013,0.077199165,0.016315235
07/02/2013,0.077199165,-0.001633959
07/03/2013,0.077199165,-0.005426333
07/04/2013,0.077199165,0.006350015
07/05/2013,0.077199165,-0.005980943
07/08/2013,0.077199165,-0.003977769
07/09/2013,0.077199165,-0.000158755
07/10/2013,0.077199165,0.003471702
07/11/2013,0.077199165,0.005357878
07/12/2013,0.082201267,-0.013249831
07/15/2013,0.082201267,0.016730633
07/16/2013,0.082201267,-0.010437402
07/17/2013,0.082201267,0.018430878
07/18/2013,0.082201267,0.003184097
07/19/2013,0.082201267,0.007612099
07/22/2013,0.082201267,0.004060736
07/23/2013,0.082201267,0.006386795
07/24/2013,0.082201267,0.006924375
07/25/2013,0.082201267,-0.003205893
07/26/2013,0.082201267,-0.001591789
07/29/2013,0.082201267,-0.000809774
07/30/2013,0.082201267,-0.001755219
07/31/2013,0.082201267,-0.003821161
08/01/2013,0.082201267,0.005855949
08/02/2013,0.082299418,0.006028624
08/05/2013,0.082299418,-0.003616563
08/06/2013,0.082201267,0.001331905
08/07/2013,0.082201267,-0.000665487
08/08/2013,0.082201267,-0.002377323
08/09/2013,0.082201267,-0.012270563
08/12/2013,0.082201267,-0.007044951
08/13/2013,0.082201267,0.013761531
08/14/2013,0.082201267,0.013522925
08/15/2013,0.082201267,-0.003659795
08/16/2013,0.082201267,0.020926596
08/19/2013,0.082201267,0.039561358
08/20/2013,0.082201267,0.019672372
08/21/2013,0.082201267,-0.015818411
08/22/2013,0.082201267,0.014719362
08/23/2013,0.082201267,0.015792634
08/26/2013,0.082201267,-0.044464577
08/27/2013,0.082201267,0.019427535
08/28/2013,0.082201267,-0.005760152
08/29/2013,0.082201267,-0.01358365
08/30/2013,0.087199115,0.02831873
09/02/2013,0.087199115,0.002007974
09/03/2013,0.087199115,0.001380244
09/04/2013,0.087199115,0.001585532
09/05/2013,0.087199115,0.002314211
09/06/2013,0.087199115,-0.016656942
09/09/2013,0.087199115,-0.004430292
09/10/2013,0.087199115,1.01999E-05
09/11/2013,0.087199115,-0.004577193
09/12/2013,0.087199115,-0.002765223
09/13/2013,0.087199115,0.004979458
09/16/2013,0.087199115,0.004628395
09/17/2013,0.087199115,0.005409856
09/18/2013,0.087199115,-0.001940279
09/19/2013,0.087199115,-0.004843455
09/20/2013,0.087100522,-0.003874847
09/23/2013,0.086999199,-0.001778912
09/24/2013,0.086999199,0.002780994
09/25/2013,0.086999199,0.004797902
09/26/2013,0.088100563,-0.003200871
09/27/2013,0.087199115,-0.005022629
09/30/2013,0.087100522,0.001003225
10/01/2013,0.087100522,0.007706931
10/02/2013,0.087100522,0.004870624
10/03/2013,0.086999199,0.008775908
10/04/2013,0.086999199,-0.002112973
10/07/2013,0.088300681,0.001502726
10/08/2013,0.088100563,0.004141663
10/09/2013,0.088100563,-0.005438877
10/10/2013,0.088500836,0.004762116
10/11/2013,0.093599286,0.010882506
10/14/2013,0.0931999,-0.000516554
10/15/2013,0.093500115,-0.00527436
10/16/2013,0.093500115,-0.001313587
10/17/2013,0.093500115,0.006359867
10/18/2013,0.093500115,0.014614456
10/21/2013,0.0931999,-0.003874695
10/22/2013,0.093500115,0.004720874
10/23/2013,0.093500115,-0.006032442
10/24/2013,0.0931999,-0.007171617
10/25/2013,0.0931999,-0.007865847
10/28/2013,0.0931999,-0.002731376
10/29/2013,0.0931999,-0.00065998
10/30/2013,0.0931999,-0.002293641
10/31/2013,0.0931999,0.013314067
11/01/2013,0.0931999,-0.003592073
11/04/2013,0.0931999,0.005020898
11/05/2013,0.092800658,0.007067868
11/06/2013,0.092800658,0.002738296
11/07/2013,0.092800658,0.012546809
11/08/2013,0.092800658,0.003784975
11/11/2013,0.092800658,0.005150957
11/12/2013,0.092800658,0.009446996
11/13/2013,0.092800658,-0.010996617
11/14/2013,0.092800658,-0.002502677
11/18/2013,0.092800658,-0.007466834
11/19/2013,0.092800658,-0.031053316
11/20/2013,0.092800658,-0.000158756
11/21/2013,0.092800658,-0.000309813
11/22/2013,0.092800658,0.018270227
11/25/2013,0.092800658,-0.005717582
11/26/2013,0.092800658,-0.001503945
11/27/2013,0.092800658,0.007567917
11/28/2013,0.092800658,0.007349978
11/29/2013,0.097700697,-0.004992079
12/02/2013,0.097700697,0.002055251
12/03/2013,0.097700697,0.005479783
12/04/2013,0.097700697,0.002685711
12/05/2013,0.097700697,0.009572228
12/06/2013,0.097700697,-0.006452195
12/09/2013,0.097601155,-0.009912667
12/10/2013,0.098500125,-0.004083237
12/11/2013,0.097700697,0.002635338
12/12/2013,0.097700697,0.006405868
12/13/2013,0.097700697,-0.001153289
12/16/2013,0.097700697,-0.003086447
12/17/2013,0.098500125,0.000476182
12/18/2013,0.097700697,0.003398988
12/19/2013,0.097700697,0.004147458
12/20/2013,0.097700697,0.003774788
12/23/2013,0.097700697,0.007101804
12/24/2013,0.097700697,-0.000158755
12/26/2013,0.097700697,-0.002343236
12/27/2013,0.097700697,-0.003808813
12/30/2013,0.097700697,0.010824629
12/31/2013,0.097700697,-0.000158755
01/02/2014,0.097700697,-0.003501001
01/03/2014,0.097700697,0.007432793
01/06/2014,0.097700697,-0.007536651
01/07/2014,0.097700697,-0.005867997
01/08/2014,0.097700697,-0.000444238
01/09/2014,0.097700697,0.000393012
01/10/2014,0.097700697,0.00907187
01/13/2014,0.097700697,-0.015156713
01/14/2014,0.097700697,0.003156215
01/15/2014,0.097700697,-0.000843143
01/16/2014,0.097700697,-0.005497382
01/17/2014,0.102700393,0.037688099
01/20/2014,0.103400602,-0.009227014
01/21/2014,0.103500668,0.01214956
01/22/2014,0.103500668,0.005971061
01/23/2014,0.102700393,-0.00022961
01/24/2014,0.102700393,0.006802904
01/27/2014,0.102700393,-0.001419449
01/28/2014,0.102700393,0.007812854
01/29/2014,0.102700393,0.003836174
01/30/2014,0.102700393,0.020773324
01/31/2014,0.102700393,0.005724819
02/03/2014,0.102700393,0.004517958
02/04/2014,0.102700393,0.008318874
02/05/2014,0.102900408,-0.016510911
02/06/2014,0.102900408,-0.008004514
02/07/2014,0.102900408,-0.002696847
02/10/2014,0.102900408,-0.006942115
02/11/2014,0.102900408,-0.006548685
02/12/2014,0.102900408,0.006274989
02/13/2014,0.102900408,0.01186511
02/14/2014,0.102900408,-0.00547045
02/17/2014,0.102900408,-0.007336385
02/18/2014,0.102900408,-0.013028376
02/19/2014,0.102900408,0.003581635
02/20/2014,0.102900408,0.006562179
02/21/2014,0.102900408,0.00708542
02/24/2014,0.102900408,-0.000389334
02/25/2014,0.102900408,0.001185962
02/26/2014,0.102900408,0.005040959
02/27/2014,0.103500668,-0.000120158
02/28/2014,0.105899392,0.0216228
03/05/2014,0.105899392,-0.002789676
03/06/2014,0.105501101,0.008009563
03/07/2014,0.105501101,0.004238254
03/10/2014,0.105501101,-0.006785241
03/11/2014,0.105501101,-0.004130154
03/12/2014,0.105501101,-0.005991385
03/13/2014,0.105501101,0.0041977
03/14/2014,0.105501101,-0.001372494
03/17/2014,0.105501101,0.000529333
03/18/2014,0.105501101,-0.004721341
03/19/2014,0.105501101,-0.001649819
03/20/2014,0.105899392,-0.001222101
03/21/2014,0.105899392,-0.00977678
03/24/2014,0.105899392,-0.005179003
03/25/2014,0.105899392,0.006269833
03/26/2014,0.105899392,-0.002204526
03/27/2014,0.105899392,-0.001016368
03/28/2014,0.105501101,0.005704397
03/31/2014,0.105501101,-0.0010326
04/01/2014,0.105501101,0.001447671
04/02/2014,0.105501101,0.001251653
04/03/2014,0.105501101,-0.002436687
04/04/2014,0.107999048,-0.000593437
04/07/2014,0.107999048,0.018110527
04/08/2014,0.107999048,-0.002360022
04/09/2014,0.107999048,-0.001338942
04/10/2014,0.107999048,0.002941992
04/11/2014,0.107999048,0.000939843
04/14/2014,0.107999048,-0.00865898
04/15/2014,0.107999048,-0.003899587
04/16/2014,0.107999048,-0.002940372
04/17/2014,0.107999048,-0.004379282
04/22/2014,0.107999048,0.000849906
04/23/2014,0.107999048,0.004436584
04/24/2014,0.107999048,0.004939022
04/25/2014,0.107999048,0.004413916
04/28/2014,0.107999048,-0.009572258
04/29/2014,0.107999048,0.011481534
04/30/2014,0.107999048,-0.011539479
05/02/2014,0.107999048,-0.007915324
05/05/2014,0.107999048,0.006156423
05/06/2014,0.107999048,-0.008528538
05/07/2014,0.107999048,0.005700552
05/08/2014,0.107999048,-0.001909194
05/09/2014,0.107999048,-0.003163113
05/12/2014,0.107999048,-0.004099001
05/13/2014,0.107999048,-0.004520397
05/14/2014,0.107999048,0.007072865
05/15/2014,0.107999048,0.005474194
05/16/2014,0.107999048,-0.00359865
05/19/2014,0.107999048,0.006544535
05/20/2014,0.107999048,-0.006608948
05/21/2014,0.107999048,-0.001369112
05/22/2014,0.107999048,0.005086665
05/23/2014,0.107999048,-0.000487519
05/26/2014,0.107999048,-0.006104619
05/27/2014,0.107999048,-0.00054464
05/28/2014,0.107999048,-0.009227103
05/29/2014,0.107999048,0.002325073
05/30/2014,0.107999048,0.011464738
06/02/2014,0.107999048,0.009541118
06/03/2014,0.107999048,0.002187803
06/04/2014,0.107999048,-0.002688532
06/05/2014,0.107999048,-0.000253689
06/06/2014,0.107999048,0.00434724
06/09/2014,0.107999048,0.00144606
06/10/2014,0.108401027,-0.002178479
06/11/2014,0.107999048,-0.008681461
06/12/2014,0.107999048,-0.000158756
06/13/2014,0.107999048,0.005298505
06/16/2014,0.107999048,0.004341776
06/17/2014,0.107999048,0.002055544
06/18/2014,0.107999048,0.007088606
06/20/2014,0.107999048,0.001151754
06/23/2014,0.107999048,0.000814437
06/24/2014,0.107999048,-0.000128782
06/25/2014,0.107999048,-0.002679128
06/26/2014,0.107999048,0.000104043
06/27/2014,0.107999048,-0.003200607
06/30/2014,0.107999048,0.00360254
07/01/2014,0.107999048,0.004360168
07/02/2014,0.107999048,0.012864188
07/03/2014,0.107999048,-0.000111602
07/04/2014,0.107999048,-0.000990632
07/07/2014,0.107999048,0.005571536
07/08/2014,0.107999048,-0.004771445
07/09/2014,0.107999048,-0.000158755
07/10/2014,0.107999048,0.001418264
07/11/2014,0.107999048,-0.006880286
07/14/2014,0.107999048,-0.000411146
07/15/2014,0.107999048,0.00662401
07/16/2014,0.107999048,-0.004435717
07/17/2014,0.107999048,0.010525459
07/18/2014,0.107999048,0.009480436
07/21/2014,0.107999048,-0.008056442
07/22/2014,0.107999048,-0.002493093
07/23/2014,0.107999048,0.005508874
07/24/2014,0.107999048,-0.006854338
07/25/2014,0.107999048,-0.018733298
07/28/2014,0.107999048,0.001837506
07/29/2014,0.107999048,0.000620338
07/30/2014,0.107999048,3.21117E-05
07/31/2014,0.107999048,-0.002803665
08/01/2014,0.107999048,-0.001286265
08/04/2014,0.107999048,-0.008297756
08/05/2014,0.108099529,0.0039432
08/06/2014,0.108099529,0.025777778
08/07/2014,0.108099529,-0.007166782
08/08/2014,0.108099529,0.005235574
08/11/2014,0.108099529,-0.008510044
08/12/2014,0.108099529,-0.012956155
08/13/2014,0.108099529,0.003551354
08/14/2014,0.108099529,0.005185774
08/15/2014,0.108099529,-0.005488472
08/18/2014,0.108200019,-0.004573139
08/19/2014,0.108099529,-0.002643846
08/20/2014,0.108099529,-0.001024551
08/21/2014,0.108401027,-0.009568563
08/22/2014,0.108200019,0.001264051
08/25/2014,0.108099529,0.002252352
08/26/2014,0.108401027,0.00426957
08/27/2014,0.108401027,-0.00134581
08/28/2014,0.108099529,0.002846105
08/29/2014,0.108401027,0.001604545
09/01/2014,0.108099529,-0.005241561
09/02/2014,0.108099529,-0.009413351
09/03/2014,0.108099529,-0.001937581
09/04/2014,0.108099529,0.004494156
09/05/2014,0.108099529,-0.005174969
09/08/2014,0.108099529,-0.007087969
09/09/2014,0.108099529,-0.006964924
09/10/2014,0.108099529,-0.014159121
09/11/2014,0.108401027,-0.001428159
09/12/2014,0.108099529,0.009162426
09/15/2014,0.108099529,-0.002377072
09/16/2014,0.108099529,-0.01306745
09/17/2014,0.108099529,0.005314673
09/18/2014,0.108099529,0.010149131
09/19/2014,0.108099529,0.017002032
09/22/2014,0.108099529,0.013807335
09/23/2014,0.108099529,0.018103737
09/24/2014,0.108401027,0.007012729
09/25/2014,0.108401027,-0.010522765
09/26/2014,0.108401027,0.019023719
09/29/2014,0.108099529,-0.004611583
09/30/2014,0.108099529,0.04502442
10/01/2014,0.108099529,-0.006596645
10/02/2014,0.108099529,0.019095348
10/03/2014,0.108099529,0.011534305
10/06/2014,0.108099529,-0.007019407
10/07/2014,0.108099529,-0.057532429
10/08/2014,0.108401027,-0.011079909
10/09/2014,0.108401027,0.010913824
10/10/2014,0.108401027,-0.008205623
10/13/2014,0.108401027,-0.001008365
10/14/2014,0.108099529,-0.004233636
10/15/2014,0.108401027,0.010866078
10/16/2014,0.108099529,0.010400983
10/17/2014,0.108401027,0.009727186
10/20/2014,0.108401027,0.002684534
10/21/2014,0.108401027,0.008033666
10/22/2014,0.108401027,-0.005201694
10/23/2014,0.108401027,-0.019729969
10/24/2014,0.108401027,-0.009345817
10/27/2014,0.108401027,0.009683422
10/28/2014,0.108401027,0.014660607
10/29/2014,0.108401027,-0.003753652
10/30/2014,0.108401027,0.00051045
10/31/2014,0.110899904,0.013538618
11/03/2014,0.110600526,0.003941107
11/04/2014,0.110600526,0.000760165
11/05/2014,0.110600526,0.003362195
11/06/2014,0.110899904,0.010986255
11/07/2014,0.110899904,0.004294342
11/10/2014,0.110899904,-0.000687706
11/11/2014,0.110899904,-0.008912103
11/12/2014,0.110899904,0.000988969
11/13/2014,0.110899904,-0.000224929
11/14/2014,0.110899904,-0.002829517
11/17/2014,0.110899904,-0.006744037
11/18/2014,0.110899904,0.000907021
11/19/2014,0.110899904,-0.003658287
11/20/2014,0.110899904,-0.000158755
11/21/2014,0.110899904,-0.011350319
11/24/2014,0.110899904,-0.010520054
11/25/2014,0.110899904,-0.00304937
11/26/2014,0.110899904,0.007167708
11/27/2014,0.110899904,0.013242403
11/28/2014,0.110899904,-0.001892536
12/01/2014,0.110600526,0.004633407
12/02/2014,0.110600526,0.001666968
12/03/2014,0.110600526,0.00915505
12/04/2014,0.110899904,0.023207644
12/05/2014,0.115900448,-0.031395065
12/08/2014,0.115900448,0.000993932
12/09/2014,0.115900448,-0.002714356
12/10/2014,0.115700896,-0.005511867
12/11/2014,0.115700896,0.008641438
12/12/2014,0.115900448,-0.004968739
12/15/2014,0.115900448,0.005596481
12/16/2014,0.115900448,0.027242684
12/17/2014,0.115900448,0.040632094
12/18/2014,0.115900448,-0.000694471
12/19/2014,0.115900448,-0.015246128
12/22/2014,0.115900448,-0.000762579
12/23/2014,0.115900448,-0.004711999
12/24/2014,0.115700896,-0.000158755
12/26/2014,0.115700896,0.013040518
